Variable,Unit
Total Energy Production,Thousand Barrels Per Day
Total Energy Consumption,Thousand Barrels Per Day
Total Petroleum Production,Thousand Barrels Per Day
Total Petroleum Consumption,Thousand Barrels Per Day
Total Electricity Production,Billion KWH
Total Electricity Consumption,Billion KWH
Total Dry Natural Gas Production,Billion Cubic Feet
Total Dry Natural Gas Consumption,Billion Cubic Feet
Total Biofuel Production,Quadrillion BTU
Total Biofuel Consumption,Quadrillion BTU
Total Coal Primary Production,Thousand Short Tons
Total Coal Primary Consumption,Thousand Short Tons
